"BOOT_IMAGE",COMMAND,CanMultiSession,NR,PID,PWD,TTY,UID,USER,"_raw","_time","active_time",api,apparmor,capability,capname,class,code,comm,datalength,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone","denied_mask",dev,dropped,euid,eventtype,fsuid,host,index,ino,ioctlcmd,linecount,logname,msg,name,operation,ouid,path,permissive,pfsense,pid,profile,punct,received,"requested_mask",resettable,root,ruser,scontext,sent,source,sourcetype,"splunk_server","splunk_server_group",status,tag,"tag::eventtype",tclass,tcontext,timeendpos,timestamp,timestartpos,type,uid,user,v,vendor,version
,,,,,,,,,"Apr 21 12:22:18 10.10.10.12 Apr 21 17:22:23 wazuh-server ossec: {""timestamp"":""2026-04-21T17:22:23.456+0000"",""rule"":{""level"":7,""description"":""SCA summary: CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Score less than 50% (43)"",""id"":""19004"",""firedtimes"":1,""mail"":false,""groups"":[""sca""],""gdpr"":[""IV_35.7.d""],""pci_dss"":[""2.2""],""nist_800_53"":[""CM.1""],""tsc"":[""CC7.1"",""CC7.2""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776792143.87516"",""decoder"":{""name"":""sca""},""data"":{""sca"":{""type"":""summary"",""scan_id"":""720698092"",""policy"":""CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0."",""description"":""This document provides prescriptive guidance for establishing a secure configuration posture for Amazon Linux 2023 systems running on x86 and x64 platforms. This document was tested against Amazon Linux 2023."",""policy_id"":""cis_amazon_linux_2023"",""passed"":""77"",""failed"":""100"",""invalid"":""6"",""total_checks"":""183"",""score"":""43"",""file"":""cis_amazon_linux_2023.yml""}},""location"":""sca""}","2026-04-21T12:22:18.000-0500",,,,,,,,,,12,21,22,april,18,tuesday,2026,local,,,,,,,"10.10.10.12",wazuh,,,1,,,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""_:_____",,,,,,,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,,0,,,,,,
,,,,,,,,,"Apr 21 12:22:09 10.10.10.12 Apr 21 17:22:14 wazuh-server ossec: {""timestamp"":""2026-04-21T17:22:14.569+0000"",""rule"":{""level"":9,""description"":""CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure message of the day is configured properly.: Status changed from passed to failed"",""id"":""19011"",""firedtimes"":1,""mail"":false,""groups"":[""sca""],""gdpr"":[""IV_35.7.d""],""pci_dss"":[""2.2""],""nist_800_53"":[""CM.1""],""tsc"":[""CC7.1"",""CC7.2""],""cis"":[""1.7.1""],""mitre_techniques"":[""T1082"",""T1592"",""T1592.004""],""mitre_tactics"":[""TA0007""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776792134.83493"",""decoder"":{""name"":""sca""},""data"":{""sca"":{""type"":""check"",""scan_id"":""720698092"",""policy"":""CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0."",""check"":{""id"":""31045"",""title"":""Ensure message of the day is configured properly."",""description"":""The contents of the /etc/motd file are displayed to users after login and function as a message of the day for authenticated users. Unix-based systems have typically displayed information about the OS release and patch level upon logging in to the system. This information can be useful to developers who are developing software for a particular OS platform. If mingetty(8) supports the following options, they display operating system information: \\m - machine architecture \\r - operating system release \\s - operating system name \\v - operating system version."",""rationale"":""Warning messages inform users who are attempting to login to the system of their legal status regarding the system and must include the name of the organization that owns the system and any monitoring policies that are in place. Displaying OS and patch level information in login banners also has the side effect of providing detailed system information to attackers attempting to target specific exploits of a system. Authorized users can easily get this information by running the \"" uname -a \"" command once they have logged in."",""remediation"":""Edit the /etc/motd file with the appropriate contents according to your site policy, remove any instances of \\m , \\r , \\s , \\v or references to the OS platform OR If the motd is not used, this file can be removed. Run the following command to remove the motd file: # rm /etc/motd."",""compliance"":{""cis"":""1.7.1"",""mitre_techniques"":""T1082,T1592,T1592.004"",""mitre_tactics"":""TA0007""},""file"":[""/etc/motd""],""result"":""failed"",""previous_result"":""passed""}}},""location"":""sca""}","2026-04-21T12:22:09.000-0500",,,,,,,,,,12,21,22,april,9,tuesday,2026,local,,,,,,,"10.10.10.12",wazuh,,,1,,,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""_______",,,,,,,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,,0,,,,,,
,,,,,,,,,"Apr 21 12:21:45 10.10.10.12 Apr 21 17:21:51 wazuh-server ossec: {""timestamp"":""2026-04-21T17:21:51.157+0000"",""rule"":{""level"":3,""description"":""Wazuh server started."",""id"":""502"",""firedtimes"":1,""mail"":false,""groups"":[""ossec""],""pci_dss"":[""10.6.1""],""gpg13"":[""10.1""],""gdpr"":[""IV_35.7.d""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.6""],""tsc"":[""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776792111.83241"",""full_log"":""ossec: Manager started."",""decoder"":{""name"":""ossec""},""location"":""wazuh-monitord""}","2026-04-21T12:21:45.000-0500",,,,,,,,,,12,21,21,april,45,tuesday,2026,local,,,,,,,"10.10.10.12",wazuh,,,1,,,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""__."",""""",,,,,,,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,,0,,,,,,
,,,,,,,,,"Apr 21 12:21:42 10.10.10.12 Apr 21 17:21:48 wazuh-server ossec: {""timestamp"":""2026-04-21T17:21:48.183+0000"",""rule"":{""level"":3,""description"":""Auditd: SELinux permission check."",""id"":""80730"",""firedtimes"":1,""mail"":false,""groups"":[""audit"",""audit_selinux""],""gdpr"":[""IV_30.1.g"",""IV_35.7.d""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.6""],""pci_dss"":[""10.6.1""],""tsc"":[""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776792108.82618"",""full_log"":""type=AVC msg=audit(1776792108.014:233): avc:  denied  { write } for  pid=3710 comm=\""passwd\"" path=\""/var/ossec/queue/vd_updater/tmp/contents/1882046-api_file.json\"" dev=\""sda1\"" ino=2951169 scontext=system_u:system_r:passwd_t:s0 tcontext=system_u:object_r:tmp_t:s0 tclass=file permissive=1"",""decoder"":{""name"":""auditd""},""data"":{""audit"":{""type"":""AVC"",""id"":""233"",""pid"":""3710"",""command"":""passwd""}},""location"":""/var/log/audit/audit.log""}","2026-04-21T12:21:42.000-0500",,,,,,,,"\",,12,21,21,april,42,tuesday,2026,local,,"\",,,,,"10.10.10.12",wazuh,2951169,,1,,"audit(1776792108.014:233):",,,,"\",1,,3710,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,,,,"system_u:system_r:passwd_t:s0",,"udp:515",wazuh,"tgmp-Ubuntu",,,,,file,"system_u:object_r:tmp_t:s0",16,,0,AVC,,,,,
,,,,,,,,,"Apr 21 12:21:36 10.10.10.12 Apr 21 17:21:42 wazuh-server ossec: {""timestamp"":""2026-04-21T17:21:42.204+0000"",""rule"":{""level"":7,""description"":""Listened ports status (netstat) changed (new port opened or closed)."",""id"":""533"",""firedtimes"":1,""mail"":false,""groups"":[""ossec""],""pci_dss"":[""10.2.7"",""10.6.1""],""gpg13"":[""10.1""],""gdpr"":[""IV_35.7.d""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AU.6""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776792102.81448"",""previous_output"":""Previous output:\nossec: output: 'netstat listening ports':\ntcp 0.0.0.0:22 0.0.0.0:* /usr\ntcp6 :::22 :::* /usr\nudp 10.10.10.12:68 0.0.0.0:* 2382/systemd-networ\nudp 127.0.0.1:323 0.0.0.0:* 1875/chronyd\nudp6 ::1:323 :::* 1875/chronyd\ntcp 0.0.0.0:443 0.0.0.0:* 1785/node\ntcp 0.0.0.0:1514 0.0.0.0:* 9869/wazuh-remoted\ntcp 0.0.0.0:1515 0.0.0.0:* 9745/wazuh-authd\ntcp 0.0.0.0:55000 0.0.0.0:* 9694/python3\ntcp6 :::55000 :::* 9694/python3"",""full_log"":""ossec: output: 'netstat listening ports':\ntcp 0.0.0.0:22 0.0.0.0:* /usr\ntcp6 :::22 :::* /usr\nudp 10.10.10.12:68 0.0.0.0:* 2386/systemd-networ\nudp 127.0.0.1:323 0.0.0.0:* 1886/chronyd\nudp6 ::1:323 :::* 1886/chronyd\ntcp 0.0.0.0:443 0.0.0.0:* 1786/node\ntcp 0.0.0.0:1514 0.0.0.0:* 2915/wazuh-remoted\ntcp 0.0.0.0:1515 0.0.0.0:* 2818/wazuh-authd\ntcp 0.0.0.0:55000 0.0.0.0:* 2729/python3\ntcp6 :::55000 :::* 2729/python3"",""decoder"":{""name"":""ossec""},""previous_log"":""ossec: output: 'netstat listening ports':\ntcp 0.0.0.0:22 0.0.0.0:* /usr\ntcp6 :::22 :::* /usr\nudp 10.10.10.12:68 0.0.0.0:* 2382/systemd-networ\nudp 127.0.0.1:323 0.0.0.0:* 1875/chronyd\nudp6 ::1:323 :::* 1875/chronyd\ntcp 0.0.0.0:443 0.0.0.0:* 1785/node\ntcp 0.0.0.0:1514 0.0.0.0:* 9869/wazuh-remoted\ntcp 0.0.0.0:1515 0.0.0.0:* 9745/wazuh-authd\ntcp 0.0.0.0:55000 0.0.0.0:* 9694/python3\ntcp6 :::55000 :::* 9694/python3"",""location"":""netstat listening ports""}","2026-04-21T12:21:36.000-0500",,,,,,,,,,12,21,21,april,36,tuesday,2026,local,,,,,,,"10.10.10.12",wazuh,,,1,,,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""___()__",,,,,,,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,,0,,,,,,
,,,,,,,,,"Apr 21 12:10:52 10.10.10.12 Apr 21 17:10:56 wazuh-server ossec: {""timestamp"":""2026-04-21T17:10:56.866+0000"",""rule"":{""level"":3,""description"":""Wazuh server started."",""id"":""502"",""firedtimes"":1,""mail"":false,""groups"":[""ossec""],""pci_dss"":[""10.6.1""],""gpg13"":[""10.1""],""gdpr"":[""IV_35.7.d""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.6""],""tsc"":[""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776791456.81196"",""full_log"":""ossec: Manager started."",""decoder"":{""name"":""ossec""},""location"":""wazuh-monitord""}","2026-04-21T12:10:52.000-0500",,,,,,,,,,12,21,10,april,52,tuesday,2026,local,,,,,,,"10.10.10.12",wazuh,,,1,,,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""__."",""""",,,,,,,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,,0,,,,,,
,,,,,,,,,"Apr 21 12:10:47 10.10.10.12 Apr 21 17:10:51 wazuh-server ossec: {""timestamp"":""2026-04-21T17:10:51.842+0000"",""rule"":{""level"":3,""description"":""PAM: Login session closed."",""id"":""5502"",""firedtimes"":1,""mail"":false,""groups"":[""pam"",""syslog""],""pci_dss"":[""10.2.5""],""gpg13"":[""7.8"",""7.9""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776791451.80823"",""full_log"":""Apr 21 17:10:49 wazuh-server sudo[9453]: pam_unix(sudo:session): session closed for user root"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 17:10:49"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""pam"",""name"":""pam""},""data"":{""dstuser"":""root""},""location"":""journald""}","2026-04-21T12:10:47.000-0500",,,,,,,,,,12,21,10,april,47,tuesday,2026,local,,,,,,,"10.10.10.12",wazuh,,,1,,,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,,,,,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,,0,,,,,,
,,,,,,,,,"Apr 21 12:10:47 10.10.10.12 Apr 21 17:10:51 wazuh-server ossec: {""timestamp"":""2026-04-21T17:10:51.841+0000"",""rule"":{""level"":3,""description"":""Auditd: SELinux permission check."",""id"":""80730"",""firedtimes"":1,""mail"":false,""groups"":[""audit"",""audit_selinux""],""gdpr"":[""IV_30.1.g"",""IV_35.7.d""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.6""],""pci_dss"":[""10.6.1""],""tsc"":[""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776791451.80197"",""full_log"":""type=AVC msg=audit(1776791451.478:381): avc:  denied  { write } for  pid=10802 comm=\""passwd\"" path=\""/var/ossec/queue/vd_updater/tmp/contents/1883046-api_file.json\"" dev=\""sda1\"" ino=38443463 scontext=system_u:system_r:passwd_t:s0 tcontext=system_u:object_r:tmp_t:s0 tclass=file permissive=1"",""decoder"":{""name"":""auditd""},""data"":{""audit"":{""type"":""AVC"",""id"":""381"",""pid"":""10802"",""command"":""passwd""}},""location"":""/var/log/audit/audit.log""}","2026-04-21T12:10:47.000-0500",,,,,,,,"\",,12,21,10,april,47,tuesday,2026,local,,"\",,,,,"10.10.10.12",wazuh,38443463,,1,,"audit(1776791451.478:381):",,,,"\",1,,10802,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,,,,"system_u:system_r:passwd_t:s0",,"udp:515",wazuh,"tgmp-Ubuntu",,,,,file,"system_u:object_r:tmp_t:s0",16,,0,AVC,,,,,
,,,,,,,,,"Apr 21 12:10:43 10.10.10.12 Apr 21 17:10:47 wazuh-server ossec: {""timestamp"":""2026-04-21T17:10:47.861+0000"",""rule"":{""level"":7,""description"":""Listened ports status (netstat) changed (new port opened or closed)."",""id"":""533"",""firedtimes"":1,""mail"":false,""groups"":[""ossec""],""pci_dss"":[""10.2.7"",""10.6.1""],""gpg13"":[""10.1""],""gdpr"":[""IV_35.7.d""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AU.6""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776791447.79027"",""previous_output"":""Previous output:\nossec: output: 'netstat listening ports':\ntcp 0.0.0.0:22 0.0.0.0:* /usr\ntcp6 :::22 :::* /usr\nudp 10.10.10.12:68 0.0.0.0:* 2382/systemd-networ\nudp 127.0.0.1:323 0.0.0.0:* 1875/chronyd\nudp6 ::1:323 :::* 1875/chronyd\ntcp 0.0.0.0:443 0.0.0.0:* 1785/node\ntcp 0.0.0.0:1514 0.0.0.0:* 7740/wazuh-remoted\ntcp 0.0.0.0:1515 0.0.0.0:* 7653/wazuh-authd\ntcp 0.0.0.0:55000 0.0.0.0:* 7602/python3\ntcp6 :::55000 :::* 7602/python3"",""full_log"":""ossec: output: 'netstat listening ports':\ntcp 0.0.0.0:22 0.0.0.0:* /usr\ntcp6 :::22 :::* /usr\nudp 10.10.10.12:68 0.0.0.0:* 2382/systemd-networ\nudp 127.0.0.1:323 0.0.0.0:* 1875/chronyd\nudp6 ::1:323 :::* 1875/chronyd\ntcp 0.0.0.0:443 0.0.0.0:* 1785/node\ntcp 0.0.0.0:1514 0.0.0.0:* 9869/wazuh-remoted\ntcp 0.0.0.0:1515 0.0.0.0:* 9745/wazuh-authd\ntcp 0.0.0.0:55000 0.0.0.0:* 9694/python3\ntcp6 :::55000 :::* 9694/python3"",""decoder"":{""name"":""ossec""},""previous_log"":""ossec: output: 'netstat listening ports':\ntcp 0.0.0.0:22 0.0.0.0:* /usr\ntcp6 :::22 :::* /usr\nudp 10.10.10.12:68 0.0.0.0:* 2382/systemd-networ\nudp 127.0.0.1:323 0.0.0.0:* 1875/chronyd\nudp6 ::1:323 :::* 1875/chronyd\ntcp 0.0.0.0:443 0.0.0.0:* 1785/node\ntcp 0.0.0.0:1514 0.0.0.0:* 7740/wazuh-remoted\ntcp 0.0.0.0:1515 0.0.0.0:* 7653/wazuh-authd\ntcp 0.0.0.0:55000 0.0.0.0:* 7602/python3\ntcp6 :::55000 :::* 7602/python3"",""location"":""netstat listening ports""}","2026-04-21T12:10:43.000-0500",,,,,,,,,,12,21,10,april,43,tuesday,2026,local,,,,,,,"10.10.10.12",wazuh,,,1,,,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""___()__",,,,,,,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,,0,,,,,,
,,,,,,,,,"Apr 21 12:10:29 10.10.10.12 Apr 21 17:10:35 wazuh-server ossec: {""timestamp"":""2026-04-21T17:10:35.544+0000"",""rule"":{""level"":3,""description"":""PAM: Login session opened."",""id"":""5501"",""mitre"":{""id"":[""T1078""],""tactic"":[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""],""technique"":[""Valid Accounts""]},""firedtimes"":1,""mail"":false,""groups"":[""pam"",""syslog"",""authentication_success""],""pci_dss"":[""10.2.5""],""gpg13"":[""7.8"",""7.9""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776791435.78583"",""full_log"":""Apr 21 17:10:34 wazuh-server sudo[9453]: pam_unix(sudo:session): session opened for user root(uid=0) by wazuh-user(uid=1000)"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 17:10:34"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""pam"",""name"":""pam""},""data"":{""srcuser"":""wazuh-user"",""dstuser"":""root(uid=0)"",""uid"":""1000""},""location"":""journald""}","2026-04-21T12:10:29.000-0500",,,,,,,,,,12,21,10,april,29,tuesday,2026,local,,,,,,,"10.10.10.12",wazuh,,,1,,,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,,,,,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,,0,,0,,,,
