"BOOT_IMAGE",CanMultiSession,PID,UID,"_raw","_time",api,average,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",distance,estimate,eventtype,files,gid,host,index,linecount,longest,lsn,mode,pid,punct,resettable,root,size,source,sourcetype,"splunk_server","splunk_server_group",sync,tag,"tag::eventtype",timeendpos,timestamp,timestartpos,total,uid,vendor,version,write
,,,,"[+6177.96s] DEBUG: Session pid=3377: Sending SIGTERM
[+6177.97s] DEBUG: Session pid=3377: Exited with return value 0
[+6177.97s] DEBUG: Seat seat0: Session stopped
[+6178.03s] DEBUG: Seat seat0 changes active session to 
[+6178.33s] DEBUG: Process 1864 exited with return value 0
[+6178.34s] DEBUG: XServer 0: X server stopped
[+6178.34s] DEBUG: Releasing VT 7
[+6178.34s] DEBUG: XServer 0: Removing X server authority /var/run/lightdm/root/:0
[+6178.34s] DEBUG: Seat seat0: Display server stopped
[+6178.34s] DEBUG: Seat seat0: Stopped
[+6178.34s] DEBUG: Display manager stopped
[+6178.34s] DEBUG: Stopping daemon
[+6178.34s] DEBUG: Exiting with return value 0","2025-11-20T10:24:08.000-0600",,,,,,,,,,,,,,,,kali,main,13,,,,"3377:","[+.]_:__=:__[+.]_:__=:_____[+.]_:__:__[+.]_:______",,,,"/var/log/lightdm/lightdm.log","linux_logs","tgmp-Ubuntu",,,,,,none,,,,,,
,,,,"(II) Server terminated successfully (0). Closing log file.","2025-11-20T10:24:08.000-0600",,,,,,,,,,,,,,,,kali,main,1,,,,,"()____().___.",,,,"/var/log/lightdm/x-0.log","linux_logs","tgmp-Ubuntu",,,,,,none,,,,,,
,,,,"[  6206.003] (II) event1  - Power Button: device removed
[  6206.024] (II) event2  - Sleep Button: device removed
[  6206.044] (II) event3  - Video Bus: device removed
[  6206.096] (II) event7  - VirtualBox mouse integration: device removed
[  6206.133] (II) event5  - VirtualBox USB Tablet: device removed
[  6206.209] (II) event0  - AT Translated Set 2 keyboard: device removed
[  6206.231] (II) event4  - ImExPS/2 Generic Explorer Mouse: device removed
[  6206.307] (II) UnloadModule: ""libinput""
[  6206.308] (II) UnloadModule: ""libinput""
[  6206.311] (II) UnloadModule: ""libinput""
[  6206.311] (II) UnloadModule: ""libinput""
[  6206.311] (II) UnloadModule: ""libinput""
[  6206.312] (II) UnloadModule: ""libinput""
[  6206.325] (II) UnloadModule: ""libinput""
[  6206.492] (II) Server terminated successfully (0). Closing log file.","2025-11-20T10:24:07.000-0600",,,,,,,,,,,,,,,,kali,main,15,,,,,"[__.]_()___-__:__[__.]_()___-__:__[__.]_()___-__:_",,,,"/var/log/Xorg.0.log","linux_logs","tgmp-Ubuntu",,,,,,none,,,,,,
,,,,"[+6177.68s] DEBUG: Got signal 15 from process 1
[+6177.68s] DEBUG: Caught Terminated signal, shutting down
[+6177.68s] DEBUG: Stopping display manager
[+6177.68s] DEBUG: Seat seat0: Stopping
[+6177.68s] DEBUG: Seat seat0: Stopping display server
[+6177.68s] DEBUG: Sending signal 15 to process 1864
[+6177.68s] DEBUG: Seat seat0: Stopping session
[+6177.68s] DEBUG: Terminating login1 session 17","2025-11-20T10:24:07.000-0600",,,,,,,,,,,,,,,,kali,main,8,,,,,"[+.]_:______[+.]_:___,__[+.]_:___[+.]_:__:_[+.]_:_",,,,"/var/log/lightdm/lightdm.log","linux_logs","tgmp-Ubuntu",,,,,,none,,,,,,
,,,,"[+6094.24s] DEBUG: Session pid=3377: Started with service 'lightdm', username 'kali'
[+6094.24s] DEBUG: Session pid=2303: Terminated with signal 15
[+6094.24s] DEBUG: Session: Failed during authentication
[+6094.24s] DEBUG: Seat seat0: Session stopped
[+6094.49s] DEBUG: Session pid=3377: Got 1 message(s) from PAM
[+6094.49s] DEBUG: Prompt greeter with 1 message(s)
[+6095.37s] DEBUG: Continue authentication
[+6095.61s] DEBUG: Session pid=3377: Authentication complete with return value 0: Success
[+6095.62s] DEBUG: Authenticate result for user kali: Success
[+6095.62s] DEBUG: User kali authorized
[+6095.66s] DEBUG: Greeter requests session lightdm-xsession
[+6095.66s] DEBUG: Seat seat0: Stopping greeter; display server will be re-used for user session
[+6095.66s] DEBUG: Terminating login1 session c1
[+6095.68s] DEBUG: Session pid=1979: Sending SIGTERM
[+6095.86s] DEBUG: Greeter closed communication channel
[+6095.86s] DEBUG: Session pid=1979: Exited with return value 0
[+6095.86s] DEBUG: Seat seat0: Session stopped
[+6095.86s] DEBUG: Seat seat0: Greeter stopped, running session
[+6095.86s] DEBUG: Registering session with bus path /org/freedesktop/DisplayManager/Session0
[+6095.87s] DEBUG: Session pid=3377: Running command /etc/lightdm/Xsession default
[+6095.87s] DEBUG: Creating shared data directory /var/lib/lightdm/data/kali
[+6095.87s] DEBUG: Session pid=3377: Logging to .xsession-errors
[+6096.82s] DEBUG: Activating VT 7
[+6096.83s] DEBUG: Activating login1 session 17
[+6096.83s] DEBUG: Seat seat0 changes active session to 
[+6096.83s] DEBUG: Seat seat0 changes active session to 17
[+6096.83s] DEBUG: Session 17 is already active","2025-11-20T10:22:46.000-0600",,,,,,,,,,,,,,,,kali,main,27,,,,"3377: Started with service 'lightdm'","[+.]_:__=:____'',__''[+.]_:__=:____[+.]_:_:___[+.]",,,,"/var/log/lightdm/lightdm.log","linux_logs","tgmp-Ubuntu",,,,,,none,,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.556: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.572: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.587: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.605: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.627: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.645: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.662: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.681: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.698: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.717: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.737: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.754: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)
** (lightdm-gtk-greeter:2114): WARNING **: 11:22:45.835: [PIDs] Failed to terminate process #2231: No such process","2025-11-20T10:22:45.556-0600",,,11,20,22,november,45,thursday,2025,local,,,,,,kali,main,13,,,,,"(--:):_-_**:_::.:______._______?_(___)(--:):_-_**:",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:45.537: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:22:45.537-0600",,,11,20,22,november,45,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"[+6094.24s] DEBUG: Greeter start authentication for kali
[+6094.24s] DEBUG: Session pid=2303: Sending SIGTERM","2025-11-20T10:22:44.000-0600",,,,,,,,,,,,,,,,kali,main,2,,,,"2303:","[+.]_:_____[+.]_:__=:__",,,,"/var/log/lightdm/lightdm.log","linux_logs","tgmp-Ubuntu",,,,,,none,,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:22:00.946: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:22:00.946-0600",,,11,20,22,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:21:00.644: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:21:00.644-0600",,,11,20,21,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:20:00.358: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:20:00.358-0600",,,11,20,20,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:19:00.648: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:19:00.648-0600",,,11,20,19,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
