COMMAND,PWD,TTY,USER,"_raw","_time","active_time",datalength,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dropped,eventtype,host,if,index,linecount,pfsense,punct,received,sent,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timeendpos,timestartpos,uid,v
,,,,"Nov 20 01:49:51 10.0.0.1 Nov 20 13:19:55 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,9081,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:49:51.000-0600",,12,1,20,49,november,51,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:49:36 10.0.0.1 Nov 20 13:19:40 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,8418,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:49:36.000-0600",,12,1,20,49,november,36,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:49:21 10.0.0.1 Nov 20 13:19:25 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,7037,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:49:21.000-0600",,12,1,20,49,november,21,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:49:06 10.0.0.1 Nov 20 13:19:10 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,6513,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:49:06.000-0600",,12,1,20,49,november,6,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:48:55 10.0.0.1 Nov 20 13:19:00 /usr/sbin/cron[77401]: (root) CMD (/usr/sbin/newsyslog)","2025-11-20T01:48:55.000-0600",,,1,20,48,november,55,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:48:51 10.0.0.1 Nov 20 13:18:55 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,6311,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:48:51.000-0600",,12,1,20,48,november,51,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:48:36 10.0.0.1 Nov 20 13:18:40 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,5559,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:48:36.000-0600",,12,1,20,48,november,36,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:48:20 10.0.0.1 Nov 20 13:18:25 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,5353,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:48:20.000-0600",,12,1,20,48,november,20,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:48:05 10.0.0.1 Nov 20 13:18:10 filterlog[90620]: 98,,,1758561049,em0,ip-option,block,in,4,0x0,,1,3925,0,DF,2,igmp,36,192.168.1.1,224.0.0.1,datalength=12 ","2025-11-20T01:48:05.000-0600",,12,1,20,48,november,5,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_[]:_,,,,,-,,,,,,,,,,,,,...,...,=_",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
,,,,"Nov 20 01:47:55 10.0.0.1 Nov 20 13:18:00 /usr/sbin/cron[53504]: (root) CMD (/usr/sbin/newsyslog)","2025-11-20T01:47:55.000-0600",,,1,20,47,november,55,thursday,2025,local,,,"10.0.0.1",,pfsense,1,"10.0.0.1","__::_...___::_///[]:_()__(///)",,,"udp:514",pfsense,"tgmp-Ubuntu",,,,16,0,,
