COMMAND,NR,PWD,TTY,USER,"_raw","_time",apparmor,capability,capname,class,code,comm,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone","denied_mask",dev,eventtype,fsuid,host,index,ino,linecount,msg,name,operation,ouid,path,permissive,pid,profile,punct,"requested_mask",scontext,source,sourcetype,"splunk_server","splunk_server_group",status,tag,"tag::eventtype",tclass,tcontext,timeendpos,timestartpos,type,uid
,,,,,"Apr 21 11:28:04 10.10.10.12 Apr 21 16:28:09 wazuh-server ossec: {""timestamp"":""2026-04-21T16:28:09.208+0000"",""rule"":{""level"":3,""description"":""PAM: Login session closed."",""id"":""5502"",""firedtimes"":2,""mail"":false,""groups"":[""pam"",""syslog""],""pci_dss"":[""10.2.5""],""gpg13"":[""7.8"",""7.9""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776788889.67684"",""full_log"":""Apr 21 16:28:08 wazuh-server sudo[6796]: pam_unix(sudo:session): session closed for user root"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 16:28:08"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""pam"",""name"":""pam""},""data"":{""dstuser"":""root""},""location"":""journald""}","2026-04-21T11:28:04.000-0500",,,,,,,11,21,28,april,4,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,
,,,,,"Apr 21 11:27:58 10.10.10.12 Apr 21 16:28:03 wazuh-server ossec: {""timestamp"":""2026-04-21T16:28:03.189+0000"",""rule"":{""level"":3,""description"":""PAM: Login session opened."",""id"":""5501"",""mitre"":{""id"":[""T1078""],""tactic"":[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""],""technique"":[""Valid Accounts""]},""firedtimes"":2,""mail"":false,""groups"":[""pam"",""syslog"",""authentication_success""],""pci_dss"":[""10.2.5""],""gpg13"":[""7.8"",""7.9""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776788883.67240"",""full_log"":""Apr 21 16:28:02 wazuh-server sudo[6796]: pam_unix(sudo:session): session opened for user root(uid=0) by wazuh-user(uid=1000)"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 16:28:02"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""pam"",""name"":""pam""},""data"":{""srcuser"":""wazuh-user"",""dstuser"":""root(uid=0)"",""uid"":""1000""},""location"":""journald""}","2026-04-21T11:27:58.000-0500",,,,,,,11,21,27,april,58,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,0
"/usr/bin/bash",,"/home/wazuh-user",tty1,root,"Apr 21 11:27:58 10.10.10.12 Apr 21 16:28:03 wazuh-server ossec: {""timestamp"":""2026-04-21T16:28:03.189+0000"",""rule"":{""level"":3,""description"":""Successful sudo to ROOT executed."",""id"":""5402"",""mitre"":{""id"":[""T1548.003""],""tactic"":[""Privilege Escalation"",""Defense Evasion""],""technique"":[""Sudo and Sudo Caching""]},""firedtimes"":2,""mail"":false,""groups"":[""syslog"",""sudo""],""pci_dss"":[""10.2.5"",""10.2.2""],""gpg13"":[""7.6"",""7.8"",""7.13""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7"",""AC.6""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776788883.66639"",""full_log"":""Apr 21 16:28:02 wazuh-server sudo[6796]: wazuh-user : TTY=tty1 ; PWD=/home/wazuh-user ; USER=root ; COMMAND=/usr/bin/bash ./wazuh-passwords-tool.sh -u admin -p Tgmp7199"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 16:28:02"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""sudo"",""name"":""sudo"",""ftscomment"":""First time user executed the sudo command""},""data"":{""srcuser"":""wazuh-user"",""dstuser"":""root"",""tty"":""tty1"",""pwd"":""/home/wazuh-user"",""command"":""/usr/bin/bash ./wazuh-passwords-tool.sh -u admin -p Tgmp7199""},""location"":""journald""}","2026-04-21T11:27:58.000-0500",,,,,,,11,21,27,april,58,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""____."",",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,
"/usr/bin/chmod",,"/home/wazuh-user",tty1,root,"Apr 21 11:27:23 10.10.10.12 Apr 21 16:27:29 wazuh-server ossec: {""timestamp"":""2026-04-21T16:27:29.102+0000"",""rule"":{""level"":3,""description"":""Successful sudo to ROOT executed."",""id"":""5402"",""mitre"":{""id"":[""T1548.003""],""tactic"":[""Privilege Escalation"",""Defense Evasion""],""technique"":[""Sudo and Sudo Caching""]},""firedtimes"":1,""mail"":false,""groups"":[""syslog"",""sudo""],""pci_dss"":[""10.2.5"",""10.2.2""],""gpg13"":[""7.6"",""7.8"",""7.13""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7"",""AC.6""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776788849.66076"",""full_log"":""Apr 21 16:27:28 wazuh-server sudo[6789]: wazuh-user : TTY=tty1 ; PWD=/home/wazuh-user ; USER=root ; COMMAND=/usr/bin/chmod +x wazuh-passwords-tool.sh"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 16:27:28"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""sudo"",""name"":""sudo"",""ftscomment"":""First time user executed the sudo command""},""data"":{""srcuser"":""wazuh-user"",""dstuser"":""root"",""tty"":""tty1"",""pwd"":""/home/wazuh-user"",""command"":""/usr/bin/chmod +x wazuh-passwords-tool.sh""},""location"":""journald""}","2026-04-21T11:27:23.000-0500",,,,,,,11,21,27,april,23,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""____."",",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,
,,,,,"Apr 21 11:27:23 10.10.10.12 Apr 21 16:27:29 wazuh-server ossec: {""timestamp"":""2026-04-21T16:27:29.117+0000"",""rule"":{""level"":3,""description"":""PAM: Login session closed."",""id"":""5502"",""firedtimes"":1,""mail"":false,""groups"":[""pam"",""syslog""],""pci_dss"":[""10.2.5""],""gpg13"":[""7.8"",""7.9""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776788849.65703"",""full_log"":""Apr 21 16:27:28 wazuh-server sudo[6789]: pam_unix(sudo:session): session closed for user root"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 16:27:28"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""pam"",""name"":""pam""},""data"":{""dstuser"":""root""},""location"":""journald""}","2026-04-21T11:27:23.000-0500",,,,,,,11,21,27,april,23,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,
,,,,,"Apr 21 11:27:23 10.10.10.12 Apr 21 16:27:29 wazuh-server ossec: {""timestamp"":""2026-04-21T16:27:29.109+0000"",""rule"":{""level"":3,""description"":""PAM: Login session opened."",""id"":""5501"",""mitre"":{""id"":[""T1078""],""tactic"":[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""],""technique"":[""Valid Accounts""]},""firedtimes"":1,""mail"":false,""groups"":[""pam"",""syslog"",""authentication_success""],""pci_dss"":[""10.2.5""],""gpg13"":[""7.8"",""7.9""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1776788849.65259"",""full_log"":""Apr 21 16:27:28 wazuh-server sudo[6789]: pam_unix(sudo:session): session opened for user root(uid=0) by wazuh-user(uid=1000)"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 16:27:28"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""pam"",""name"":""pam""},""data"":{""srcuser"":""wazuh-user"",""dstuser"":""root(uid=0)"",""uid"":""1000""},""location"":""journald""}","2026-04-21T11:27:23.000-0500",,,,,,,11,21,27,april,23,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,0
,,,,,"Apr 21 11:20:38 10.10.10.12 Apr 21 16:20:41 wazuh-server ossec: {""timestamp"":""2026-04-21T16:20:41.544+0000"",""rule"":{""level"":7,""description"":""Listened ports status (netstat) changed (new port opened or closed)."",""id"":""533"",""firedtimes"":1,""mail"":false,""groups"":[""ossec""],""pci_dss"":[""10.2.7"",""10.6.1""],""gpg13"":[""10.1""],""gdpr"":[""IV_35.7.d""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AU.6""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""004"",""name"":""ubuntu"",""ip"":""10.10.10.11""},""manager"":{""name"":""wazuh-server""},""id"":""1776788441.62507"",""previous_output"":""Previous output:\nossec: output: 'netstat listening ports':\ntcp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\ntcp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 0.0.0.0:514 0.0.0.0:* 23218/splunkd\nudp 0.0.0.0:515 0.0.0.0:* 23218/splunkd\ntcp 127.0.0.1:631 0.0.0.0:* 1206/cupsd\ntcp6 ::1:631 :::* 1206/cupsd\nudp 0.0.0.0:5353 0.0.0.0:* 710/avahi-daemon\nudp6 :::5353 :::* 710/avahi-daemon\ntcp 0.0.0.0:8089 0.0.0.0:* 23218/splunkd\ntcp 0.0.0.0:8191 0.0.0.0:* 23464/mongod\ntcp 127.0.0.1:8194 0.0.0.0:* 23691/ipc\ntcp 0.0.0.0:9997 0.0.0.0:* 23218/splunkd\ntcp 0.0.0.0:9999 0.0.0.0:* 23218/splunkd\ntcp 127.0.0.1:33413 0.0.0.0:* 23691/ipc\ntcp 127.0.0.1:33523 0.0.0.0:* 23473/compsup\ntcp 127.0.0.1:37705 0.0.0.0:* 23817/agent-manager\ntcp 127.0.0.1:38337 0.0.0.0:* 23808/identity\ntcp 127.0.0.1:39577 0.0.0.0:* 23808/identity\ntcp 127.0.0.1:39915 0.0.0.0:* 23473/compsup\ntcp 127.0.0.1:40343 0.0.0.0:* 23817/agent-manager\nudp 0.0.0.0:46688 0.0.0.0:* 710/avahi-daemon\nudp6 :::56144 :::* 710/avahi-daemon"",""full_log"":""ossec: output: 'netstat listening ports':\ntcp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\ntcp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 0.0.0.0:514 0.0.0.0:* 23218/splunkd\nudp 0.0.0.0:515 0.0.0.0:* 23218/splunkd\ntcp 127.0.0.1:631 0.0.0.0:* 1206/cupsd\ntcp6 ::1:631 :::* 1206/cupsd\nudp 0.0.0.0:5353 0.0.0.0:* 710/avahi-daemon\nudp6 :::5353 :::* 710/avahi-daemon\ntcp 0.0.0.0:8000 0.0.0.0:* 23218/splunkd\ntcp 127.0.0.1:8065 0.0.0.0:* 23596/python3\ntcp 0.0.0.0:8089 0.0.0.0:* 23218/splunkd\ntcp 0.0.0.0:8191 0.0.0.0:* 23464/mongod\ntcp 127.0.0.1:8194 0.0.0.0:* 23691/ipc\ntcp 0.0.0.0:9997 0.0.0.0:* 23218/splunkd\ntcp 0.0.0.0:9999 0.0.0.0:* 23218/splunkd\ntcp 127.0.0.1:32879 0.0.0.0:* 24102/cmp-orchestra\ntcp 127.0.0.1:33413 0.0.0.0:* 23691/ipc\ntcp 127.0.0.1:33523 0.0.0.0:* 23473/compsup\ntcp 127.0.0.1:34673 0.0.0.0:* 24102/cmp-orchestra\ntcp 127.0.0.1:34865 0.0.0.0:* 24135/spotlight-col\ntcp 127.0.0.1:36927 0.0.0.0:* 24135/spotlight-col\ntcp 127.0.0.1:37705 0.0.0.0:* 23817/agent-manager\ntcp 127.0.0.1:38337 0.0.0.0:* 23808/identity\ntcp 127.0.0.1:39577 0.0.0.0:* 23808/identity\ntcp 127.0.0.1:39915 0.0.0.0:* 23473/compsup\ntcp 127.0.0.1:40343 0.0.0.0:* 23817/agent-manager\nudp 0.0.0.0:46688 0.0.0.0:* 710/avahi-daemon\nudp6 :::56144 :::* 710/avahi-daemon"",""decoder"":{""name"":""ossec""},""previous_log"":""ossec: output: 'netstat listening ports':\ntcp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\ntcp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 0.0.0.0:514 0.0.0.0:* 23218/splunkd\nudp 0.0.0.0:515 0.0.0.0:* 23218/splunkd\ntcp 127.0.0.1:631 0.0.0.0:* 1206/cupsd\ntcp6 ::1:631 :::* 1206/cupsd\nudp 0.0.0.0:5353 0.0.0.0:* 710/avahi-daemon\nudp6 :::5353 :::* 710/avahi-daemon\ntcp 0.0.0.0:8089 0.0.0.0:* 23218/splunkd\ntcp 0.0.0.0:8191 0.0.0.0:* 23464/mongod\ntcp 127.0.0.1:8194 0.0.0.0:* 23691/ipc\ntcp 0.0.0.0:9997 0.0.0.0:* 23218/splunkd\ntcp 0.0.0.0:9999 0.0.0.0:* 23218/splunkd\ntcp 127.0.0.1:33413 0.0.0.0:* 23691/ipc\ntcp 127.0.0.1:33523 0.0.0.0:* 23473/compsup\ntcp 127.0.0.1:37705 0.0.0.0:* 23817/agent-manager\ntcp 127.0.0.1:38337 0.0.0.0:* 23808/identity\ntcp 127.0.0.1:39577 0.0.0.0:* 23808/identity\ntcp 127.0.0.1:39915 0.0.0.0:* 23473/compsup\ntcp 127.0.0.1:40343 0.0.0.0:* 23817/agent-manager\nudp 0.0.0.0:46688 0.0.0.0:* 710/avahi-daemon\nudp6 :::56144 :::* 710/avahi-daemon"",""location"":""netstat listening ports""}","2026-04-21T11:20:38.000-0500",,,,,,,11,21,20,april,38,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""___()__",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,
,,,,,"Apr 21 10:51:30 10.10.10.12 Apr 21 15:51:33 wazuh-server ossec: {""timestamp"":""2026-04-21T15:51:33.110+0000"",""rule"":{""level"":3,""description"":""PAM: Login session closed."",""id"":""5502"",""firedtimes"":2,""mail"":false,""groups"":[""pam"",""syslog""],""pci_dss"":[""10.2.5""],""gpg13"":[""7.8"",""7.9""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""004"",""name"":""ubuntu"",""ip"":""10.10.10.11""},""manager"":{""name"":""wazuh-server""},""id"":""1776786693.62134"",""full_log"":""Apr 21 15:51:29 tgmp-Ubuntu sudo[22922]: pam_unix(sudo:session): session closed for user root"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 15:51:29"",""hostname"":""tgmp-Ubuntu""},""decoder"":{""parent"":""pam"",""name"":""pam""},""data"":{""dstuser"":""root""},""location"":""journald""}","2026-04-21T10:51:30.000-0500",,,,,,,10,21,51,april,30,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,
,,,,,"Apr 21 10:51:20 10.10.10.12 Apr 21 15:51:22 wazuh-server ossec: {""timestamp"":""2026-04-21T15:51:22.167+0000"",""rule"":{""level"":7,""description"":""Listened ports status (netstat) changed (new port opened or closed)."",""id"":""533"",""firedtimes"":3,""mail"":false,""groups"":[""ossec""],""pci_dss"":[""10.2.7"",""10.6.1""],""gpg13"":[""10.1""],""gdpr"":[""IV_35.7.d""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AU.6""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""004"",""name"":""ubuntu"",""ip"":""10.10.10.11""},""manager"":{""name"":""wazuh-server""},""id"":""1776786682.59398"",""previous_output"":""Previous output:\nossec: output: 'netstat listening ports':\ntcp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\ntcp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 0.0.0.0:514 0.0.0.0:* 1388/splunkd\nudp 0.0.0.0:515 0.0.0.0:* 1388/splunkd\ntcp 127.0.0.1:631 0.0.0.0:* 1206/cupsd\ntcp6 ::1:631 :::* 1206/cupsd\nudp 0.0.0.0:5353 0.0.0.0:* 710/avahi-daemon\nudp6 :::5353 :::* 710/avahi-daemon\ntcp 0.0.0.0:8000 0.0.0.0:* 1388/splunkd\ntcp 127.0.0.1:8065 0.0.0.0:* 3474/python3\ntcp 0.0.0.0:8089 0.0.0.0:* 1388/splunkd\ntcp 0.0.0.0:8191 0.0.0.0:* 3250/mongod\ntcp 127.0.0.1:8194 0.0.0.0:* 3677/ipc\ntcp 0.0.0.0:9997 0.0.0.0:* 1388/splunkd\ntcp 0.0.0.0:9999 0.0.0.0:* 1388/splunkd\ntcp 127.0.0.1:33227 0.0.0.0:* 3517/compsup\ntcp 127.0.0.1:37225 0.0.0.0:* 3795/spotlight-coll\ntcp 127.0.0.1:37675 0.0.0.0:* 3739/cmp-orchestrat\ntcp 127.0.0.1:38935 0.0.0.0:* 3699/agent-manager\ntcp 127.0.0.1:39373 0.0.0.0:* 3795/spotlight-coll\ntcp 127.0.0.1:39943 0.0.0.0:* 3693/identity\ntcp 127.0.0.1:40135 0.0.0.0:* 3699/agent-manager\ntcp 127.0.0.1:40441 0.0.0.0:* 3517/compsup\ntcp 127.0.0.1:44329 0.0.0.0:* 3693/identity\ntcp 127.0.0.1:45253 0.0.0.0:* 3677/ipc\ntcp 127.0.0.1:46679 0.0.0.0:* 3739/cmp-orchestrat\nudp 0.0.0.0:46688 0.0.0.0:* 710/avahi-daemon\nudp6 :::56144 :::* 710/avahi-daemon"",""full_log"":""ossec: output: 'netstat listening ports':\ntcp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\ntcp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 0.0.0.0:514 0.0.0.0:* 23218/splunkd\nudp 0.0.0.0:515 0.0.0.0:* 23218/splunkd\ntcp 127.0.0.1:631 0.0.0.0:* 1206/cupsd\ntcp6 ::1:631 :::* 1206/cupsd\nudp 0.0.0.0:5353 0.0.0.0:* 710/avahi-daemon\nudp6 :::5353 :::* 710/avahi-daemon\ntcp 0.0.0.0:8089 0.0.0.0:* 23218/splunkd\ntcp 0.0.0.0:8191 0.0.0.0:* 23464/mongod\ntcp 127.0.0.1:8194 0.0.0.0:* 23691/ipc\ntcp 0.0.0.0:9997 0.0.0.0:* 23218/splunkd\ntcp 0.0.0.0:9999 0.0.0.0:* 23218/splunkd\ntcp 127.0.0.1:33413 0.0.0.0:* 23691/ipc\ntcp 127.0.0.1:33523 0.0.0.0:* 23473/compsup\ntcp 127.0.0.1:37705 0.0.0.0:* 23817/agent-manager\ntcp 127.0.0.1:38337 0.0.0.0:* 23808/identity\ntcp 127.0.0.1:39577 0.0.0.0:* 23808/identity\ntcp 127.0.0.1:39915 0.0.0.0:* 23473/compsup\ntcp 127.0.0.1:40343 0.0.0.0:* 23817/agent-manager\nudp 0.0.0.0:46688 0.0.0.0:* 710/avahi-daemon\nudp6 :::56144 :::* 710/avahi-daemon"",""decoder"":{""name"":""ossec""},""previous_log"":""ossec: output: 'netstat listening ports':\ntcp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\ntcp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.53:53 0.0.0.0:* 421/systemd-resolve\nudp 127.0.0.54:53 0.0.0.0:* 421/systemd-resolve\nudp 0.0.0.0:514 0.0.0.0:* 1388/splunkd\nudp 0.0.0.0:515 0.0.0.0:* 1388/splunkd\ntcp 127.0.0.1:631 0.0.0.0:* 1206/cupsd\ntcp6 ::1:631 :::* 1206/cupsd\nudp 0.0.0.0:5353 0.0.0.0:* 710/avahi-daemon\nudp6 :::5353 :::* 710/avahi-daemon\ntcp 0.0.0.0:8000 0.0.0.0:* 1388/splunkd\ntcp 127.0.0.1:8065 0.0.0.0:* 3474/python3\ntcp 0.0.0.0:8089 0.0.0.0:* 1388/splunkd\ntcp 0.0.0.0:8191 0.0.0.0:* 3250/mongod\ntcp 127.0.0.1:8194 0.0.0.0:* 3677/ipc\ntcp 0.0.0.0:9997 0.0.0.0:* 1388/splunkd\ntcp 0.0.0.0:9999 0.0.0.0:* 1388/splunkd\ntcp 127.0.0.1:33227 0.0.0.0:* 3517/compsup\ntcp 127.0.0.1:37225 0.0.0.0:* 3795/spotlight-coll\ntcp 127.0.0.1:37675 0.0.0.0:* 3739/cmp-orchestrat\ntcp 127.0.0.1:38935 0.0.0.0:* 3699/agent-manager\ntcp 127.0.0.1:39373 0.0.0.0:* 3795/spotlight-coll\ntcp 127.0.0.1:39943 0.0.0.0:* 3693/identity\ntcp 127.0.0.1:40135 0.0.0.0:* 3699/agent-manager\ntcp 127.0.0.1:40441 0.0.0.0:* 3517/compsup\ntcp 127.0.0.1:44329 0.0.0.0:* 3693/identity\ntcp 127.0.0.1:45253 0.0.0.0:* 3677/ipc\ntcp 127.0.0.1:46679 0.0.0.0:* 3739/cmp-orchestrat\nudp 0.0.0.0:46688 0.0.0.0:* 710/avahi-daemon\nudp6 :::56144 :::* 710/avahi-daemon"",""location"":""netstat listening ports""}","2026-04-21T10:51:20.000-0500",,,,,,,10,21,51,april,20,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":""___()__",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,
,,,,,"Apr 21 10:49:11 10.10.10.12 Apr 21 15:49:13 wazuh-server ossec: {""timestamp"":""2026-04-21T15:49:13.417+0000"",""rule"":{""level"":3,""description"":""PAM: Login session opened."",""id"":""5501"",""mitre"":{""id"":[""T1078""],""tactic"":[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""],""technique"":[""Valid Accounts""]},""firedtimes"":1,""mail"":false,""groups"":[""pam"",""syslog"",""authentication_success""],""pci_dss"":[""10.2.5""],""gpg13"":[""7.8"",""7.9""],""gdpr"":[""IV_32.2""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7""],""tsc"":[""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""004"",""name"":""ubuntu"",""ip"":""10.10.10.11""},""manager"":{""name"":""wazuh-server""},""id"":""1776786553.58960"",""full_log"":""Apr 21 15:49:09 tgmp-Ubuntu sudo[22922]: pam_unix(sudo:session): session opened for user root(uid=0) by tgmp(uid=1000)"",""predecoder"":{""program_name"":""sudo"",""timestamp"":""Apr 21 15:49:09"",""hostname"":""tgmp-Ubuntu""},""decoder"":{""parent"":""pam"",""name"":""pam""},""data"":{""srcuser"":""tgmp"",""dstuser"":""root(uid=0)"",""uid"":""1000""},""location"":""journald""}","2026-04-21T10:49:11.000-0500",,,,,,,10,21,49,april,11,tuesday,2026,local,,,,,"10.10.10.12",wazuh,,1,,,,,,,,,"__::_...___::_-_:_{"""":""--::.+"","""":{"""":,"""":"":___."",",,,"udp:515",wazuh,"tgmp-Ubuntu",,,,,,,16,0,,0
